[1:4]	[3:5]
43.8971	0.00503117
43.9494	-0.0201772
44.0238	0.00150424
43.9871	-0.0050146
43.9395	-0.00668871
44.0333	-0.00556844
44.1825	-0.012691
44.1321	-0.00130576
44.094	-0.00209248
44.176	-0.014614
44.226	0.00329834
44.1382	-0.00591296
44.1367	-0.0162196
44.2523	0.00128889
44.2198	-0.011748
44.1283	0.00620842
44.1374	-0.0121297
44.1947	-0.0108108
44.1497	0.00264591
44.0345	-0.0172842
44.0177	0.0137369
44.0535	-0.0224662
43.8834	-0.000392497
43.8021	-0.00770479
43.8265	-0.00186038
43.8937	-0.00447184
43.8822	-0.00833732
43.8197	-0.00522262
43.9204	-0.0155622
43.9372	0.0113245
43.8498	-0.0157665
43.8681	0.00167328
43.9688	-0.0194312
44.0871	0.00193852
44.0749	-0.000962138
44.0955	-0.0100577
44.237	-0.00910151
44.2069	-0.00198036
44.1786	-0.0125542
44.2412	0.00259119
44.382	0.000419199
44.3759	-0.0225986
44.3518	0.00662142
44.3839	-0.0233546
44.4384	0.0112441
44.4133	-0.00661057
44.2965	-0.0149726
44.3003	0.00112867
44.2618	-0.0197005
44.1462	0.00978792
44.0528	-0.0136344
44.044	-0.00469583
44.0409	-0.0041011
43.9723	-0.0106007
43.859	-0.00470871
43.8353	-0.00521922
43.7773	-0.00543767
43.6308	-0.00671327
43.6213	-0.00815392
43.6793	-0.000958562
43.7438	-0.00903362
43.7205	-0.00359082
43.7564	-0.00444543
43.8449	-0.0103607
43.8944	0.0014261
43.8716	-0.0130944
43.9753	-0.00586587
44.1409	0.000432014
44.1352	-0.010482
44.1386	-0.00489771
44.2282	-0.0101917
44.3572	-0.00393349
44.393	-0.00636935
44.2744	-0.0104995
44.3438	0.00281125
44.3137	-0.00456488
44.2038	-0.0166876
44.1241	0.000826418
44.1725	-0.00819957
44.1954	0.000993013
44.1493	-0.00598359
44.0386	-0.0164584
44.0753	0.00629807
44.0131	-0.0185193
43.8479	0.0136868
43.7625	-0.0204695
43.8185	-0.00622272
43.8136	-0.00250131
43.7136	-0.00768512
43.7178	0.00113869
43.7743	-0.0125394
43.785	-0.00282049
43.7838	-0.015897
43.7907	0.0116328
43.9841	-0.0187668
43.9658	-0.000608206
43.978	-0.0108044
44.0558	-0.00861436
44.2572	0.00925213
44.2397	-0.0207508
44.2076	0.0043028
44.245	-0.0121266
44.3007	-0.0112401
44.1996	0.00599295
44.168	-0.00262415
44.2527	-0.0191199
44.3209	0.0021615
44.1874	-0.0177794
44.1775	0.00966942
44.2046	-0.010567
44.1943	-0.00938189
43.9871	-0.00381261
43.9379	-0.0148921
43.9688	0.00780863
43.8876	-0.00945461
43.7983	-0.00841439
43.7678	0.000936568
43.7739	-0.021811
43.714	0.00754255
43.637	-0.0134488
43.6732	0.00581032
43.7697	-0.0176824
43.796	0.000272155
43.7682	-0.00387174
43.8754	-0.0106542
43.9559	-0.00291079
43.9154	-0.00618374
43.9177	-0.00871617
44.0291	-0.00215524
44.0081	-0.00875401
43.9597	-0.00350136
43.9032	-0.00693637
44.06	-0.00563312
44.1359	-0.00524282
44.134	-0.00617015
44.1401	-0.00478721
44.2031	-0.00876921
44.1809	-0.0038628
44.0386	-0.00322062
44.0852	-0.00295341
44.0737	-0.0198572
44.0776	0.00205112
44.0081	-0.00676769
44.0608	0.00416756
44.0516	-0.01406
43.9826	-0.00672889
43.8933	0.000522316
43.9391	-0.0140349
44.0104	0.00657302
43.9391	-0.0110875
43.8849	-0.008986
43.9841	-0.00648183
44.0119	0.00110674
43.9734	-0.00937271
43.9444	-0.00488222
43.9459	-0.00868005
43.983	-0.00801003
43.9341	0.00207466
43.9212	-0.0107682
44.0112	-3.23057e-005
44.0493	-0.0113348
44.0512	-0.0128638
44.1027	0.00691885
44.1893	-0.0114273
44.2313	-0.00453258
44.1138	-0.00533468
44.0985	-0.017428
44.2271	0.00765526
44.2046	-0.000528693
44.1523	-0.0218117
44.2374	0.00291646
44.2511	-0.018942
44.1951	0.00930095
44.1615	-0.00662571
44.1546	-0.0169287
44.1855	0.00161016
44.1367	-0.0157422
44.097	0.00847268
44.1466	-0.0106046
44.1214	-0.00494766
44.0238	-0.00360227
43.9196	-0.0227072
43.9711	0.00765729
43.9303	-0.00913376
43.7716	-0.00377303
43.7522	-0.00882494
43.8151	-0.0122927
43.8502	0.00819457
43.7812	-0.0200214
43.8189	0.0052945
43.9421	-0.0118333
43.878	-0.0110048
43.8075	0.00639522
43.8307	-0.0182409
43.9459	0.00295544
44.0047	-0.00863475
44.0062	-0.00958872
44.0753	-0.00390357
44.1271	-0.00773823
44.1474	-0.00333184
44.0795	-0.0102878
44.1966	-0.00422931
44.2622	-0.00132602
44.2374	-0.00685978
44.1874	-0.0137994
44.2973	-0.000877798
44.2759	-0.0091427
44.179	-0.00307369
44.1348	0.00173199
44.1977	-0.0166919
44.097	-0.00315166
43.9871	-0.0108588
43.8738	0.00964993
43.9402	-0.0171568
43.9051	-0.00945383
43.8033	-0.00231636
43.7964	-0.00421947
43.854	-0.0069297
43.7846	-0.00355583
43.6999	-0.00655198
43.7308	-0.0176275
43.8712	0.0136156
43.7995	-0.0205548
43.8464	0.00651824
43.9261	-0.0152659
44.0234	-0.0106048
44.0539	0.00251794
43.9692	-0.00363624
44.1489	-0.01015
44.2546	-0.00737584
44.2157	-0.0144909
44.2702	0.004161
44.3381	0.00682247
44.3717	-0.0342244
44.2942	0.0106887
44.3114	-0.020607
44.3667	0.0082944
44.2862	-0.00789088
44.0627	-0.0193469
44.0715	0.00618845
44.0882	-0.0233721
44.0741	0.0128706
43.9013	-0.0113963
43.9368	-0.0111585
43.8723	0.00541925
43.7483	-0.0282372
43.5942	0.014831
43.6183	-0.0138276
43.608	-0.00123733
43.6041	-0.0108088
43.5588	-0.00891256
43.6602	-0.00195205
43.6877	-0.00565535
43.6556	-0.00473905
43.674	6.75917e-005
43.7747	-0.0265092
43.8323	0.0135872
43.8357	-0.0141498
43.8838	-0.00151724
44.1134	-0.00911039
44.0825	-0.0118982
44.1065	0.00677985
44.163	-0.0162765
44.2534	-0.000818372
44.1642	-0.00692362
44.1424	-0.0109976
